site_name,month,customer_type,cluster,n_obs,n_total_type_month_site,p_empirical,p_shrunk,p05,p50,p95,uncertainty_width,phi_balanced_tm_cluster,kappa_effective,support_weight,prior_alpha,posterior_alpha
Gbowele,2024-09,HH3,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-09,HH3,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-10,HH1,0,4,15,0.26666666666666666,0.22666666666666666,0.09677239911894238,0.21603406084309423,0.37872726998784967,0.2819548708689073,0.13333333333333333,6.428571428571428,0.42857142857142855,0.8571428571428571,4.857142857142857
Gbowele,2024-10,HH1,1,5,15,0.3333333333333333,0.36833333333333335,0.21275735122664277,0.37189894758766845,0.54761863571849,0.33486128449184727,0.44999999999999996,6.428571428571428,0.42857142857142855,2.8928571428571423,7.892857142857142
Gbowele,2024-10,HH1,2,5,15,0.3333333333333333,0.31333333333333335,0.1634232308697799,0.3073465421887296,0.48443002335092017,0.3210067924811403,0.26666666666666666,6.428571428571428,0.42857142857142855,1.7142857142857142,6.714285714285714
Gbowele,2024-10,HH1,3,0,15,0.0,0.034999999999999996,0.0007488474041447507,0.021570295129984193,0.1051930577673507,0.10444421036320595,0.11666666666666667,6.428571428571428,0.42857142857142855,0.7499999999999999,0.7499999999999999
Gbowele,2024-10,HH1,inactive,1,15,0.06666666666666667,0.056666666666666664,0.004348628877922933,0.041606549100028235,0.15474110455254708,0.15039247567462416,0.03333333333333333,6.428571428571428,0.42857142857142855,0.21428571428571427,1.2142857142857142
Gbowele,2024-10,HH1,outlier,0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.428571428571428,0.42857142857142855,0.0,0.0
Gbowele,2024-10,HH2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-10,HH2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-10,HH2,2,1,2,0.5,0.5,0.10628349176015188,0.5000090313217557,0.8990601450423934,0.7927766532822416,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2024-10,HH2,3,1,2,0.5,0.5,0.10093985495760652,0.4999909686782442,0.893716508239848,0.7927766532822416,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2024-10,HH2,inactive,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-10,HH2,outlier,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-10,HH3,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-10,HH3,1,1,4,0.25,0.25,0.04191273751123729,0.21996799825513602,0.5568336913862784,0.5149209538750411,0.25,2.5,0.16666666666666666,0.625,1.625
Gbowele,2024-10,HH3,2,2,4,0.5,0.5,0.19878093043780554,0.49968722249202946,0.8103488408463512,0.6115679104085456,0.5,2.5,0.16666666666666666,1.25,3.25
Gbowele,2024-10,HH3,3,1,4,0.25,0.25,0.0376009704601069,0.22004167475584097,0.5473943544964383,0.5097933840363313,0.25,2.5,0.16666666666666666,0.625,1.625
Gbowele,2024-10,HH3,inactive,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-10,HH3,outlier,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-11,HH1,0,2,22,0.09090909090909091,0.07894736842105263,0.017839456835194122,0.07044902555735902,0.1689678911257436,0.15112843429054948,0.045454545454545456,7.857142857142858,0.5238095238095238,0.35714285714285715,2.357142857142857
Gbowele,2024-11,HH1,1,10,22,0.45454545454545453,0.45614035087719296,0.3112980753114292,0.4581909548657134,0.6004069484871971,0.2891088731757679,0.4606060606060606,7.857142857142858,0.5238095238095238,3.619047619047619,13.619047619047619
Gbowele,2024-11,HH1,2,6,22,0.2727272727272727,0.2587719298245614,0.1376509606656767,0.2531429147369655,0.3908818014758399,0.2532308408101632,0.21969696969696967,7.857142857142858,0.5238095238095238,1.726190476190476,7.726190476190476
Gbowele,2024-11,HH1,3,2,22,0.09090909090909091,0.12719298245614033,0.04482134636136292,0.11754921194017144,0.23872230043790713,0.1939009540765442,0.22878787878787876,7.857142857142858,0.5238095238095238,1.7976190476190474,3.7976190476190474
Gbowele,2024-11,HH1,inactive,1,22,0.045454545454545456,0.039473684210526314,0.0033973095803549913,0.030126547692279362,0.10734996542015679,0.1039526558398018,0.022727272727272728,7.857142857142858,0.5238095238095238,0.17857142857142858,1.1785714285714286
Gbowele,2024-11,HH1,outlier,1,22,0.045454545454545456,0.039473684210526314,0.003585062326708883,0.030767228942905005,0.10774985882651546,0.10416479649980658,0.022727272727272728,7.857142857142858,0.5238095238095238,0.17857142857142858,1.1785714285714286
Gbowele,2024-11,HH2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-11,HH2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-11,HH2,2,1,2,0.5,0.5,0.10958393441277615,0.4914903914133666,0.8761455595263117,0.7665616251135355,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2024-11,HH2,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-11,HH2,inactive,1,2,0.5,0.5,0.12385444047368808,0.5085096085866334,0.8904160655872239,0.7665616251135358,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2024-11,HH2,outlier,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-11,HH3,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-11,HH3,1,1,4,0.25,0.25,0.03859119335074989,0.21985192866729952,0.567543014293972,0.5289518209432221,0.25,2.5,0.16666666666666666,0.625,1.625
Gbowele,2024-11,HH3,2,3,4,0.75,0.75,0.43245698570602786,0.7801480713327005,0.96140880664925,0.5289518209432221,0.75,2.5,0.16666666666666666,1.875,4.875
Gbowele,2024-11,HH3,3,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-11,HH3,inactive,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-11,HH3,outlier,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-12,HH1,0,2,23,0.08695652173913043,0.07571214392803599,0.016695796328415464,0.0673859503002474,0.16341498120873538,0.1467191848803199,0.043478260869565216,8.023255813953488,0.5348837209302325,0.3488372093023256,2.3488372093023258
Gbowele,2024-12,HH1,1,9,23,0.391304347826087,0.39673913043478265,0.25957264268139724,0.395393655180728,0.5422728412035757,0.2827001985221784,0.41231884057971013,8.023255813953488,0.5348837209302325,3.308139534883721,12.308139534883722
Gbowele,2024-12,HH1,2,6,23,0.2608695652173913,0.2529985007496252,0.1357638585062561,0.24848444611524179,0.3870823633246515,0.2513185048183954,0.23043478260869565,8.023255813953488,0.5348837209302325,1.8488372093023255,7.848837209302325
Gbowele,2024-12,HH1,3,3,23,0.13043478260869565,0.15667166416791603,0.06638657462074783,0.15157421156665685,0.27166629811453263,0.20527972349378482,0.23188405797101447,8.023255813953488,0.5348837209302325,1.8604651162790695,4.8604651162790695
Gbowele,2024-12,HH1,inactive,2,23,0.08695652173913043,0.08002248875562219,0.019843839848147807,0.07108638876106223,0.1715699386544076,0.15172609880625978,0.06014492753623188,8.023255813953488,0.5348837209302325,0.4825581395348837,2.4825581395348837
Gbowele,2024-12,HH1,outlier,1,23,0.043478260869565216,0.037856071964017995,0.0033360387780769466,0.027544501243835937,0.10413821973565936,0.10080218095758241,0.021739130434782608,8.023255813953488,0.5348837209302325,0.1744186046511628,1.1744186046511629
Gbowele,2024-12,HH2,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-12,HH2,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-12,HH2,2,1,2,0.5,0.5,0.1087928232391751,0.49682157948938904,0.8826331954636193,0.7738403722244442,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2024-12,HH2,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-12,HH2,inactive,1,2,0.5,0.5,0.11736680453638072,0.5031784205106109,0.891207176760825,0.7738403722244442,0.5,1.3636363636363638,0.09090909090909091,0.6818181818181819,1.6818181818181819
Gbowele,2024-12,HH2,outlier,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3636363636363638,0.09090909090909091,0.0,0.0
Gbowele,2024-12,HH3,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-12,HH3,1,2,4,0.5,0.5,0.19482409764364406,0.49550859563702215,0.8012583922811088,0.6064342946374648,0.5,2.5,0.16666666666666666,1.25,3.25
Gbowele,2024-12,HH3,2,2,4,0.5,0.5,0.19874160771889102,0.5044914043629779,0.8051759023563559,0.6064342946374649,0.5,2.5,0.16666666666666666,1.25,3.25
Gbowele,2024-12,HH3,3,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-12,HH3,inactive,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-12,HH3,outlier,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2025-01,HH1,0,2,22,0.09090909090909091,0.08717105263157895,0.022122936178441185,0.0784211522450802,0.1902442549669382,0.168121318788497,0.07670454545454546,7.857142857142858,0.5238095238095238,0.6026785714285715,2.6026785714285716
Gbowele,2025-01,HH1,1,10,22,0.45454545454545453,0.444078947368421,0.29877379220896555,0.4396861702288113,0.5944436240792897,0.2956698318703242,0.4147727272727273,7.857142857142858,0.5238095238095238,3.2589285714285716,13.258928571428571
